  0.4452  0.4491  0.4419  0.4356  0.4373  0.4572  0.4819  0.4807  0.4954  0.4917  0.4833  0.4848  0.4837  0.4754  0.4463  0.4310  0.4235  0.4234  0.4240  0.4506  0.4421  0.4360  0.4312  0.4440  0.4390  0.4829  0.4832  0.4699  0.4849  0.4956  0.4868  0.4751  0.4727  0.4459  0.4363  0.4347
  0.3848  0.3794  0.3877  0.4145  0.4117  0.3835  0.4168  0.4212  0.4235  0.4090  0.4106  0.4089  0.3885  0.3610  0.3419  0.3489  0.3502  0.3522  0.3576  0.3904  0.4313  0.4026  0.4270  0.4302  0.4527  0.4535  0.4175  0.3984  0.3678  0.3771  0.3807  0.3808  0.3729  0.3698  0.3627  0.3935
  0.3449  0.3692  0.3800  0.4024  0.4351  0.4318  0.4277  0.4397  0.4355  0.4205  0.4196  0.4126  0.4196  0.3792  0.3228  0.3110  0.3211  0.3256  0.3401  0.3623  0.4393  0.4369  0.4315  0.4173  0.4035  0.3830  0.3687  0.3210  0.3103  0.3141  0.3175  0.3253  0.3294  0.3327  0.3346  0.3383
  0.3461  0.3716  0.3722  0.3986  0.4283  0.4245  0.4278  0.4177  0.4269  0.4244  0.4149  0.4105  0.3924  0.4078  0.3391  0.2991  0.2994  0.3047  0.3245  0.3613  0.3795  0.4253  0.4227  0.4184  0.3984  0.3702  0.3176  0.3070  0.3043  0.3061  0.3103  0.3158  0.3190  0.3130  0.3299  0.3518
  0.3333  0.3326  0.3434  0.3880  0.4319  0.4291  0.4215  0.4225  0.4264  0.4253  0.4200  0.4146  0.4010  0.3665  0.3423  0.2883  0.2975  0.2988  0.3097  0.3210  0.3366  0.4109  0.4185  0.4158  0.3790  0.3431  0.3367  0.3105  0.2972  0.2879  0.2758  0.2738  0.2699  0.2792  0.3331  0.3319
  0.2558  0.3124  0.3268  0.3750  0.4081  0.4139  0.4148  0.4192  0.4211  0.4182  0.4144  0.4036  0.3861  0.3581  0.3325  0.2774  0.2807  0.2941  0.2937  0.2913  0.3421  0.4096  0.4119  0.3988  0.3625  0.3385  0.2871  0.2787  0.2680  0.2510  0.2650  0.2220  0.2110  0.2825  0.2456  0.2417
  0.2511  0.2900  0.3055  0.3408  0.3742  0.3970  0.4016  0.4037  0.4040  0.3993  0.3917  0.3758  0.3578  0.3128  0.3041  0.2634  0.2705  0.2788  0.2725  0.2615  0.3368  0.3722  0.3726  0.3572  0.3207  0.2929  0.2261  0.2482  0.2539  0.2606  0.2387  0.1956  0.2250  0.2326  0.2066  0.2176
  0.2664  0.2743  0.2871  0.3224  0.3611  0.3737  0.3738  0.3737  0.3722  0.3661  0.3565  0.3414  0.3278  0.3004  0.2814  0.2563  0.2577  0.2675  0.2438  0.2513  0.2930  0.3074  0.3125  0.3043  0.2842  0.2519  0.2442  0.1934  0.1967  0.2135  0.1957  0.1848  0.1853  0.2047  0.2087  0.2212
  0.2748  0.2784  0.2866  0.3269  0.3422  0.3363  0.3293  0.3263  0.3243  0.3204  0.3146  0.3078  0.3020  0.2799  0.2576  0.2278  0.2522  0.2584  0.2130  0.2345  0.2395  0.2410  0.2514  0.2488  0.2228  0.2346  0.1953  0.2123  0.2109  0.1888  0.1813  0.1745  0.1744  0.2189  0.2259  0.2290
  0.2949  0.3003  0.3012  0.3208  0.3126  0.3024  0.2951  0.2920  0.2893  0.2890  0.2896  0.2918  0.2926  0.2767  0.2231  0.2458  0.2378  0.2258  0.2096  0.2130  0.2116  0.2207  0.2333  0.2132  0.2176  0.1849  0.1837  0.1919  0.1788  0.1739  0.1733  0.1701  0.1729  0.3028  0.2916  0.2754
  0.3159  0.3152  0.3040  0.2935  0.2804  0.2685  0.2626  0.2610  0.2613  0.2663  0.2753  0.2851  0.2943  0.2923  0.2281  0.2115  0.2469  0.1901  0.1935  0.1970  0.2041  0.2141  0.2122  0.1841  0.1941  0.1741  0.1910  0.1862  0.1741  0.1692  0.1665  0.1689  0.2034  0.2796  0.3256  0.3359
  0.3166  0.2795  0.2938  0.2776  0.2604  0.2476  0.2432  0.2433  0.2455  0.2529  0.2686  0.2840  0.2984  0.3026  0.2400  0.1971  0.2501  0.1804  0.1875  0.1947  0.1992  0.2026  0.1957  0.1727  0.1676  0.1726  0.1862  0.1826  0.1678  0.1660  0.1671  0.1750  0.2539  0.2925  0.3537  0.3673
